claim_id,manuscript_location,claim,authoritative_artifact,locator,ownership,status,qualification
C1-L1,Abstract; I; V.1,One-of-29 at 10 km changes -0.8% to +0.6%,results/base_logs/diffrepair_e1_d10000.txt,fraction sweep f=1,primary B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C1-L2,Abstract; I; V.1,Full 10-km corruption changes +242.9% to +845.2%,results/base_logs/diffrepair_e1_d10000.txt,fraction sweep f=29,primary B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C1-L3,V.3,WCL spread reaches 385.6% at 72%/10 km,results/base_logs/diffrepair_e1_d10000.txt,fraction sweep f=21 and min-max line,primary B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C2-E1,I; VI.1,Direction-averaged top-seven approaches all-29 random at 1 km,results/base_logs/diffrepair_e2d_d1000.txt; results/base_logs/diffrepair_e1_d1000.txt,top7 and f=29,primary B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C2-E2,VI.2,Exposure share is not sufficient,results/base_logs/diffrepair_e2b_k14_dir8.txt,matched-exposure table,primary B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C2-E3,Abstract; VI.3,Top-six to top-seven transition across four methods,results/base_logs/diffrepair_e2b_k14_dir8.txt,"k=6,7 top rows",primary B,RETAINED_WITH_B9C_SCOPE,Historical R29 boundary; native official window may move the rank; G6 does not establish spatially diffuse robustness.
C2-E4,VI.3,Transition location persists at 1 km and max_gws=5,results/base_logs/diffrepair_e2d_d1000.txt; results/base_logs/diffrepair_e2e_win5.txt,"k=6,7 top rows",primary B,RETAINED_WITH_B9C_SCOPE,Historical R29 boundary; native official window may move the rank; G6 does not establish spatially diffuse robustness.
C2-E5,Abstract; VI.5,Selection-set exhaustion +14.21 pp under both windows,results/base_logs/paperb_coverage_all.txt,"Antwerp k=6,7",primary B,RETAINED_WITH_B9C_SCOPE,Historical R29 boundary; native official window may move the rank; G6 does not establish spatially diffuse robustness.
C2-E6,VI.6,Rural Sigfox has early k=7 signature; urban does not,results/base_logs/paperb_coverage_all.txt,Sigfox curves,validation B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C2-E7,X.4,Exposure ranking stable across split sources,results/figure_data/paperb_rank_stability_w10.csv; results/figure_data/paperb_rank_stability_w5.csv,all six pair comparisons,validation B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C2-A1,Abstract; VI.4,Frozen-A0 ablation,results/base_logs/e2f_a0truth.txt,"k=1,2,6,7",primary B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C3-S1,VII.1-3,Spatial family ordering is architecture-specific,results/base_logs/diffrepair_e3b_angles.txt,family tables,primary B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
