claim_id,manuscript_location,claim,authoritative_artifact,locator,ownership,status,qualification
C1-L1,Abstract; I; V.1,One-of-29 at 10 km changes -0.8% to +0.6%,results/base_logs/diffrepair_e1_d10000.txt,fraction sweep f=1,present study,RETAINED_WITH_B9C_SCOPE,Central summaries of registered random receiver/direction draws with map-specific intercept refit; not a worst-case bound.
C1-L2,Abstract; I; V.1,Full 10-km corruption changes +242.9% to +845.2%,results/base_logs/diffrepair_e1_d10000.txt,fraction sweep f=29,present study,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C1-L3,V.3,WCL spread reaches 385.6% at 72%/10 km,results/base_logs/diffrepair_e1_d10000.txt,fraction sweep f=21 and min-max line,present study,RETAINED_WITH_B9C_SCOPE,"Spread is across joint receiver-set/direction configurations, not isolated receiver-identity attribution."
C2-E1,I; VI.1,Direction-replicated top-seven approaches all-29 random at 1 km,results/base_logs/diffrepair_e2d_d1000.txt; results/base_logs/diffrepair_e1_d1000.txt,top7 and f=29,present study,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C2-E2,VI.2,Approximately matched exposure bins contain different outcomes,results/rc5/matched_exposure/subset_results.csv,40 configurations; tolerance0.025; one direction field each,present study,RC5_NARROWED,"Count, exact S, identity and direction vary jointly; no isolated co-occurrence claim or rejection of every function of exact S."
C2-E3,Abstract; VI.3,Top-six to top-seven transition across four methods,results/base_logs/diffrepair_e2b_k14_dir8.txt,"k=6,7 top rows",present study,RETAINED_WITH_B9C_SCOPE,Historical R29 boundary; native official window may move the rank; G6 does not establish spatially diffuse robustness.
C2-E4,VI.3,Transition location persists at 1 km and max_gws=5,results/base_logs/diffrepair_e2d_d1000.txt; results/base_logs/diffrepair_e2e_win5.txt,"k=6,7 top rows",present study,RETAINED_WITH_B9C_SCOPE,Historical R29 boundary; native official window may move the rank; G6 does not establish spatially diffuse robustness.
C2-E5,Abstract; VI.5,Selection-set exhaustion +14.21 pp under both windows,results/base_logs/paperb_coverage_all.txt,"Antwerp k=6,7",present study,RETAINED_WITH_B9C_SCOPE,Historical R29 boundary; native official window may move the rank; G6 does not establish spatially diffuse robustness.
C2-E6,VI.6,Rural Sigfox has early k=7 signature; urban does not,results/base_logs/paperb_coverage_all.txt,Sigfox curves,supporting control,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C2-E7,X.4,Exposure ranking stable across split sources,results/figure_data/paperb_rank_stability_w10.csv; results/figure_data/paperb_rank_stability_w5.csv,all six pair comparisons,supporting control,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C2-A1,Abstract; VI.4,Frozen-A0 ablation,results/base_logs/e2f_a0truth.txt,"k=1,2,6,7",present study,RETAINED_WITH_B9C_SCOPE,"WCL-specific refit/freeze intervention, same corrupted geometry within each pair, two fields per k; not the letter intercept-removal experiment."
C3-S1,VII.1-3,Spatial family ordering is architecture-specific,results/base_logs/diffrepair_e3b_angles.txt,family tables,present study,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
C3-S2,Abstract; VII.4,5-deg rotation adds 27.1 pp over matched isotropic WCL,results/base_logs/diffrepair_e5_affine.txt,rotation 5 deg,present study,HISTORICAL_CONSTRUCTION_ONLY,Original four-direction R29 comparator; not a substrate-invariant rotation penalty. G4 remains FAIL.
C3-S3,VII.5,"Clustered m=7 +115.5% vs random +8.9%, ranges overlap",results/base_logs/diffrepair_e5_affine.txt,cluster m=7,bounded present result,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
V1,VIII.1,20-m jitter approximately superposes with 5-km top-k errors,results/base_logs/diffrepair_e6_twopop.txt,"k=1,3,6,7",supporting control,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
V2,VIII.2,Pooled top6-to-top7 increment at P50 exceeds P90/P95 increments,results/base_logs/e7_tails.txt,top6/top7 percentiles,supporting control,RC5_NARROWED,1073m/528m/312m; marginal quantiles do not identify affected messages or exclude a newly harmed subgroup.
P-A1,V-A; Supplement S16.2,Original 5-km fraction cross-section,results/base_logs/diffrepair_e2b_k14_dir8.txt; historical_controls/SOURCE_STATUS.json,Block21 variant1; historical_controls/fraction_5km_saved_summary.csv,Attributed exploratory source history; not a separate new contribution,HISTORICAL_SUPPORT_LOCALLY_AVAILABLE,No new execution or novelty reassignment. Earlier draft history is retained; current A R5.1 is not described as re-reporting these cross-sections. Do not substitute its stable fitted map.
P-A2,IV-D; Supplement S16.4,Observed vs randomized real error-field directions,results/base_logs/diffrepair_e2b_k14_dir8.txt; historical_controls/SOURCE_STATUS.json,Block21 variant2; legacy fitted-field motivation only,Attributed exploratory source history; not a separate new contribution,HISTORICAL_SUPPORT_LOCALLY_AVAILABLE,No new execution or novelty reassignment. Earlier draft history is retained; current A R5.1 is not described as re-reporting these cross-sections. Do not substitute its stable fitted map.
P-A3,VI-A; Supplement S16.3,Original top-seven vs bottom-seven point,results/base_logs/diffrepair_e2b_k14_dir8.txt; historical_controls/SOURCE_STATUS.json,Block21 variant3; historical_controls/high_low_saved_summary.csv,Attributed exploratory source history; not a separate new contribution,HISTORICAL_SUPPORT_LOCALLY_AVAILABLE,No new execution or novelty reassignment. Earlier draft history is retained; current A R5.1 is not described as re-reporting these cross-sections. Do not substitute its stable fitted map.
B9C-G1,V; S12.1,Official-coordinate sparse/dense endpoints transfer,results/archives/PAPERB_B9C_OFFICIAL33_CORE_050926.zip,G1; official32 minus71,present study,PASS,Native population; not a same-roster effect-size equivalence claim.
B9C-G2G3,VI; S12.3,Participation boundary transfers with roster/window qualification,results/archives/PAPERB_B9C_OFFICIAL33_CORE_050926.zip,top6/top7; published/substituted/excluded,present study,PASS-QUALIFIED,Native/exclusion sensitivity and common-roster assignment contrast; O27 keeps BS71 at R29 in both arms. Exhaustion is not independently manipulated as the sole cause.
B9C-EXACT7,S12.2,Exactly seven corrupted receivers at 1/10 km,results/b9c_author_remaining/exact7_results.csv,all rows,present study,COMPLETE,Finite registered draws; DIFF nonmonotonicity is retained.
B9C-G5,S12.4,Contrast-direction stability across propagation exponents,results/b9c_author_remaining/g5_results.csv,"n=3.5,4.7,6.0",present study,PASS,No best-n selection; tested exponents and configurations only.
B9C-G4,VII; S12.5,Positive legacy official WCL rotation excess is not preserved,results/b9c_author_remaining/g5_results.csv,n=4.7 legacy rotation comparison,present study,FAIL,Eight-direction comparison; not rescued by post-failure controls.
B9C-ROT-DIAG,VII; S12.5,Pivot and displacement-profile controls bound the rotation response,results/rc5/rotation_dispersion.csv,operational-centroid control,present study,EXPLANATORY,"Central contrast to eight controls; R29 within range, O32 above all8. Post-failure explanatory; exact coordinate identity not additive median-error attribution. Common27 uses substituted BS71 in both reference arms; not a full-catalogue BS71 intervention."
B9C-G6,VI; S13,Spatial-cell WCL interval includes zero,results/b9c_author_remaining/g6_spatial_results.csv,"500,1000,2000 m",present study,FAIL,"Observed cell-composition sensitivity, not spatial generalization."
B9C-G6-TIME,S13.3,Registered temporal-block sensitivity,results/b9c_author_remaining/g6_temporal_results.csv,"5,15,30 min",present study,SECONDARY,Conditional on realized directions and direction-summarized estimand; not integrated direction uncertainty or substitute for spatial criterion.
FIG-Fig1_Corruption_Load_Surface,Figure,"Same numerical cells; signed annotations expose near-zero effects. Range -2% to 846%; five expansion magnitudes; 500m has32 draws, others8.",results/figure_data/paperb_load_surface.csv,figures/Fig1_Corruption_Load_Surface.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
FIG-Fig2_Exposure_Topology,Figure,"Top/bottom whole-metre ranges across eight fields; random central curve only, historical ranges unavailable. Ranges not CIs.",results/rc5/primary_exposure_ranges.csv,figures/Fig2_Exposure_Topology.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
FIG-Fig3_Selection_Set_Exhaustion,Figure,Historical R29 and coordinate-free Sigfox topology; not spatially independent localization replications.,results/figure_data/paperb_coverage.csv,figures/Fig3_Selection_Set_Exhaustion.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
FIG-Fig4_A0_Refit_Ablation,Figure,WCL-specific implemented intervention; does not independently manipulate exhaustion.,results/figure_data/paperb_a0_ablation.csv,figures/Fig4_A0_Refit_Ablation.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
